MAPID,YEAR_CREATED,NAME,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,MERGED_ADDRESS,LATITUDE,LONGITUDE,NUMBER_OF_PLOTS,NUMBER_OF_FOOD_TREES,NOTES,FOOD_TREE_VARIETIES,OTHER_FOOD_ASSETS,JURISDICTION,STEWARD_OR_MANAGING_ORGANIZATION,PUBLIC_E_MAIL,WEBSITE
FA129,1990,SPEC Vancouver Compost Demonstration Garden,2150,,Maple,St,"2150  Maple St, Vancouver BC",49.2666383,-123.1503918,0,,,,,City,SPEC,,
FA093,1996,Maple Community Garden,1900,W,6th,Av,"1900 W 6th Av, Vancouver BC",49.2663131,-123.148045,44,,,,,City,,info@maplecommunitygarden.ca,http://maplecommunitygarden.ca/
FA113,2006,Pine St. Community Garden,1605,W,6th,Av,"1605 W 6th Av, Vancouver BC",49.266421,-123.1413634,40,,,,,City,Pine Community Garden Association,pinestreetcommunitygardens@gmail.com,http://pinestreetgardens.org/
FA127,2006,SPEC Cambie Communal Garden,2615,,Cambie ,St,"2615  Cambie  St, Vancouver BC",49.2615932,-123.1155183,17,,,,,City,SPEC,cambiesqvol@gmail.com,
FA037,2007,Clark & Broadway Community Garden (formerly La Cosecha),1290,E,Broadway,,"1290 E Broadway , Vancouver BC",49.262084,-123.077841,56,1,,Plum,,City,REACH Community HealthCentre,,http://reachcentre.bc.ca/multicultural-family-centre/mfc-programs/
FA077,2007,Jewish Family Services (JFSA),7249,,Cypress,St,"7249  Cypress St, Vancouver BC",49.220092,-123.150444,46,,,,,City,TheWorld in a Garden,info@theworldinagarden.com ,
FA112,2007,Pine  St. Community Orchard,1708,W,6th,Av,"1708 W 6th Av, Vancouver BC",49.2662399,-123.1435022,47,,,,,City,Pine Community Garden Association,pinestreetcommunitygardens@gmail.com,http://pinestreetgardens.org/
FA020,2009,Cedar Cottage Garden - Part 2,2019,,Stainsbury ,Av,"2019  Stainsbury  Av, Vancouver BC",49.2512645,-123.0644448,46,,,,,City,Cedar Cottage Garden Society ,ccgmembershipteam@gmail.com,https://sites.google.com/site/cedarcottagegarden/
FA026,2009,Chester's Field Garden,5333,,Chester ,St,"5333  Chester  St, Vancouver BC",49.236648,-123.0896066,10,3,,anjou dwarf pear; conference dwarf pear,,City,Friends of Chester's Field,chestersfield@gmail.com ,https://www.facebook.com/chestersfieldgarden?fref=ts
FA028,2009,Chimo Terrace Youth Garden,2050,,Wall,St,"2050  Wall St, Vancouver BC",49.2854905,-123.062203,5,,,,,City,Grandview Woodlands Food Connection,gwfcnetwork@gmail.com,http://gwfoodconnection.wordpress.com/
FA035,2009,City Hall Lawn Garden,453,W,12th,Av,"453 W 12th Av, Vancouver BC",49.2613159,-123.1139357,36,6,,Apple,,City,Evergreen,vancouvercityhallgarden@gmail.com,http://www.evergreen.ca
FA043,2009,CROWSpoint Community Garden,2299,E,24th,Av,"2299 E 24th Av, Vancouver BC",49.2488724,-123.0579937,30,,,,,City,EYA,crows.point@gmail.com,http://www.crowspoint.org/
FA027,2010,Cheyenne Community Garden,2755,,Cheyenne,Av,"2755  Cheyenne Av, Vancouver BC",49.2414955,-123.0480587,33,7,inc by 3 plots in 2016,"Plums, heritage apples",,City,Renfrew Collingwood Food Security Institute,foodsecurity@cnh.bc.ca,http://rcfsi.blogspot.ca
FA078,2010,John McBride Community Garden,1850,,Spyglass,Place,"1850  Spyglass Place, Vancouver BC",49.2696835,-123.1152216,46,,,,,City,Creek Community Gardeners (under  False Creek South Neig'd  Assoc.),mcbridegarden@gmail.com,
FA080,2010,Kerrisdale Community Garden,7500,,Angus,Drive,"7500  Angus Drive, Vancouver BC",49.2177463,-123.1482727,21,4,,"anjou dwarf pear, compact stella, shamrock, persimmon",,City,Kerrisdale Community Garden Committee (under Kerrisdale Community Centre Society),kerrisdalecommunitygarden@gmail.com,https://sites.google.com/site/kerrisdalecommunitygarden/
FA088,2010,Ladybug Garden,1688,E,8th,Av,"1688 E 8th Av, Vancouver BC",49.2629678,-123.0703978,40,3,,Plums,,City,PosAbilities,canyoudigit@posabilities.ca,http://www.posabilities.ca/
FA142,2010,UP! Elgin community garden,5332,,Windsor,St,"5332  Windsor St, Vancouver BC",49.2365575,-123.084388,28,,,,,City,PosAbilities,canyoudigit@posAbilities.ca,http://elgincommunitygarden.wordpress.com/
FA108,2011,Norquay Community Learning Orchard,2732,,Horley,St,"2732  Horley St, Vancouver BC",49.2403942,-123.0491218,0,11,,"Heritage apples, pears, Asian pear, cherry, plums, fig",,City,Renfrew Collingwood Food Security Institute,foodsecurity@cnh.bc.ca,
FA132,2011,Still Creek,4410,,Kaslo,St,"4410  Kaslo St, Vancouver BC",49.2449656,-123.0467647,93,8,,"italian plum (2) hosiu (2) dwarf apple (2) stella cherry, lapin cherry",,City,PosAbilities,stillcreekcommunitygarden@gmail.com,http://stillcreekcommunitygarden.wordpress.com/
FA141,2011,Tupper Neighbourhood Greenway,400,E,23rd,Av,"400 E 23rd Av, Vancouver BC",49.250166,-123.093947,0,6,,"apple trees, berry bushes and fruit vines",,City,Tupper Greenway Urban Orchard Project,,
FA146,2011,Village on False Creek,151,W,1st ,Av,"151 W 1st  Av, Vancouver BC",49.2706432,-123.1086189,42,,,,,City,Village on False Creek Community Gardens Society,villagecommunitygardens@gmail.com,http://villagecommunitygardens.com/
FA040,2012,Copley Community Orchard,3590,,Copley,St,"3590  Copley St, Vancouver BC",49.2498017,-123.0578738,3,100,,range of varieties of perenial fruit and vegetables,,City,Environmental Youth Alliance,membership@copleycommunityorchard.com,http://www.copleycommunityorchard.com
FA094,2012,Marpole Family Place,1305,W,70th,Av,"1305 W 70th Av, Vancouver BC",49.2087963,-123.1347288,8,,,,,City,Marpole Family Place,,
FA034,2013,City Hall expansion,453,W,12th,Av,"453 W 12th Av, Vancouver BC",49.2613159,-123.1139357,10,,,,,City,Evergreen,vancouvercityhallgarden@gmail.com,http://www.evergreen.ca
FA051,2013,Dundee,5395,,Dundee,St,"5395  Dundee St, Vancouver BC",49.2357653,-123.0479743,30,6,,,,City,Dundee Court Housing Co-op,dundeegardens@hotmail.com,
FA150,2013,World in a Garden,7249,,Cypress,St,"7249  Cypress St, Vancouver BC",49.220092,-123.150444,6,,,,,City,World in a Garden,info@theworldinagarden.com ,www.theworldinagarden.com
FA042,2014,Creekside Community Recreation Centre Collaborative Garden,1,,Athletes,Way,"1  Athletes Way, Vancouver BC",49.271778,-123.1046587,23,10,,,,City,Creekside Community Centre Staff,thegardenatcreekside@gmail.com,
FA007,,Arbutus Victory,7176,E,,Boulevard,"7176 E  Boulevard, Vancouver BC",49.2209834,-123.1505481,66,,,,,City,City of Vancouver,communitygardens@vancouver.ca,
FA030,,China Creek Housing Co-op,1230,E, 8th ,Av,"1230 E  8th  Av, Vancouver BC",49.2643106,-123.0832689,30,,,,,City,China Creek Housing Co-op,,
FA044,,Cypress,1800,W,6th,Av,"1800 W 6th Av, Vancouver BC",49.2662772,-123.1456636,65,1,,"Clapp's Favourite Pear, dwarf",,City,,cypress@vcn.bc.ca,http://www.cypresscommunitygarden.ca/
FA041,1992,Cottonwood Community Garden,857,,Malkin,Av,"857  Malkin Av, Vancouver BC",49.2739359,-123.083385,139,26,Expansion in 2010 - 50 beds with improved accessibility,"Apple, cherry, plum, fig, Asian pear, hazelnut, Saskatoon, Satsuma Plum, Pacific Crabapple, Heritage Apples",,City and Park Board,Strathcona Community Gardeners Society,cottonwoodgarden@gmail.com,http://www.cottonwoodgarden.com/
FA099,2006,Means of Production Garden,1001,E,7th,Av,"1001 E 7th Av, Vancouver BC",49.2652991,-123.084993,20,25,,"Mix of cherry, plum, apple",,City and Park Board,Environmental Youth Alliance,info@eya.ca,http://www.eya.ca/
FA114,2015,Pine Street Community Garden (6th and Fir Park),1605,W,6th,Av,"1605 W 6th Av, Vancouver BC",49.2663229,-123.1417092,20,16,,"Apple, pear, plum, cherry",,City and Park Board,Pine Street Community Garden Society,pinestreetcommunitygardens@gmail.com,
FA103,2006,MOBY,1737,E,11th,Av,"1737 E 11th Av, Vancouver BC",49.2604731,-123.0688879,45,,,,,City and Translink,My Own Back Yard,mobycommunitygarden@gmail.com,http://mobygarden.wordpress.com/
