park_name,park_id,site_area,closure_notes,weekend_status,last_updated
Adanac Park,65,NW,Summer field,User discretion,Oct  3 2014
Adanac Park,65,SW,,Closed,Oct  3 2014
Adanac Park,65,Summer,Summer East West Configuration 1 Field,User discretion,Oct  3 2014
Adanac Park,65,SE,,Closed,Oct  3 2014
Andy Livingstone Park,10,AT E,Artificial Turf Field,User discretion,Oct  3 2014
Andy Livingstone Park,10,AT W,Artificial Turf Field,User discretion,Oct  3 2014
Arbutus Park,90,Practice Field,,User discretion,Oct  3 2014
Balaclava Park,34,Oval,,User discretion,Oct  3 2014
Balaclava Park,34,W,,User discretion,Oct  3 2014
Beaconsfield Park,148,SW,,User discretion,Oct  3 2014
Beaconsfield Park,148,AWF,,User discretion,Oct  3 2014
Beaconsfield Park,148,SE,,User discretion,Oct  3 2014
Bobolink Park,191,SW,,User discretion,Oct  3 2014
Bobolink Park,191,SE,,User discretion,Oct  3 2014
Bobolink Park,191,NW,,User discretion,Oct  3 2014
Braemar Park,174,C,,User discretion,Oct  3 2014
Brewers Park,79,C,,User discretion,Oct  3 2014
Brockton,206,Upper,Cricket Only,User discretion,Oct  3 2014
Brockton,206,SW,,User discretion,Oct  3 2014
Brockton,206,Lower,Cricket Only,User discretion,Oct  3 2014
Brockton Oval,206,Oval,,User discretion,Oct  3 2014
Carnarvon Park,2,SE,,User discretion,Oct  3 2014
Carnarvon Park,2,NE,,User discretion,Oct  3 2014
Chaldecott Park,37,NW,,User discretion,Oct  3 2014
Chaldecott Park,37,SW,,User discretion,Oct  3 2014
Champlain Heights Park,100,C,,User discretion,Oct  3 2014
Charleson Park,43,C,Water Main Leak / Closure Pending,User discretion,Oct  3 2014
China Creek North Park,133,C,,User discretion,Oct  3 2014
Clark Park,81,C,,User discretion,Oct  3 2014
Clinton Park,70,AWF,,Closed,Oct  3 2014
Clinton Park,70,NW,,User discretion,Oct  3 2014
Clinton Park,70,SW,,Closed,Oct  3 2014
