A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
Total population by age groups,15910,54690,21745,31445,27305,33990,47470,14735,28450,41375,23835,26400,12440,50505,21795,8805,7675,12165,36285,30710,44540,12795,603500,2313325
  0 to 4 years,570,1840,930,1080,1190,1625,2440,510,1325,1720,900,1180,350,2335,1195,335,390,365,1960,1155,960,505,24770,115185
  5 to 9 years,705,875,1355,615,905,1675,2215,715,1365,1155,940,695,495,2160,1105,430,370,305,1980,1270,465,685,22400,114390
  10 to 14 years,1040,670,1545,525,830,1725,2365,835,1545,1060,1115,630,640,2490,990,550,345,340,2310,1650,325,745,24170,124880
  15 to 19 years,1365,1210,1665,615,935,1875,2665,1200,1870,1290,1525,620,930,3165,980,580,355,390,2330,2085,760,800,29100,145190
    15 years,255,165,305,95,200,390,560,235,400,210,285,130,155,590,210,110,75,70,455,405,85,140,5500,28170
    16 years,300,155,335,110,185,370,560,215,375,240,300,115,160,605,180,125,70,75,495,430,80,155,5625,28785
    17 years,310,175,345,100,175,415,520,250,365,235,280,105,175,600,210,130,80,65,480,415,110,195,5715,28975
    18 years,255,285,360,140,170,360,515,245,380,295,335,120,225,635,190,110,70,85,470,430,170,165,5985,29365
    19 years,245,435,320,170,200,340,515,250,350,315,320,145,215,740,185,105,60,90,430,405,315,155,6275,29895
  20 to 24 years,1030,4630,1585,1770,1735,2345,3375,1165,1885,3205,1845,1765,975,4185,1335,620,505,505,2655,2385,3905,1000,44280,159085
  25 to 29 years,705,8970,1040,4120,3065,2395,3950,760,1785,5645,1805,3815,765,4245,1830,555,675,805,2650,2035,7110,840,59465,170065
  30 to 34 years,560,7885,760,4005,2945,2215,3715,610,1690,4795,1555,3850,590,3635,1870,400,665,845,2570,1765,5910,565,53335,160010
  35 to 39 years,825,5610,1025,2980,2630,2425,3765,720,1915,3760,1580,3080,565,3530,1765,350,635,815,2640,1715,4295,660,47230,161245
  40 to 44 years,1420,4520,1795,2665,2470,2725,3870,1185,2135,3585,2030,2355,845,3695,1870,665,640,845,2770,2045,3640,975,48645,180535
  45 to 49 years,1470,4055,1970,2275,2190,2875,3975,1300,2490,3095,2285,2035,1100,4235,1850,675,580,1115,2805,2480,3410,1060,49195,192085
  50 to 54 years,1120,3590,1720,2105,2090,2645,3505,1220,2285,2635,2030,1690,955,3785,1590,655,505,1135,2565,2530,2985,920,44105,182435
  55 to 59 years,1050,3295,1645,1995,1820,2200,3095,1050,2070,2470,1680,1445,875,3260,1410,660,425,1010,2145,2275,2745,975,39505,158565
  60 to 64 years,945,2825,1520,1995,1505,1915,2445,1045,1830,2480,1405,1220,850,2810,1260,675,415,930,1920,2020,2465,990,35365,136760
  65 to 69 years,660,1780,1015,1405,890,1215,1535,765,1115,1555,880,640,540,1740,730,435,255,645,1335,1195,1900,690,22845,94860
  70 to 74 years,575,1165,760,955,665,1290,1485,560,1005,965,715,505,460,1750,635,315,225,600,1235,1215,1295,475,18800,72890
  75 to 79 years,545,765,565,785,600,1270,1305,435,900,705,545,350,505,1585,610,290,200,580,1085,1060,895,335,15865,58155
  80 to 84 years,535,565,405,665,490,885,965,315,635,625,480,255,460,1085,430,250,200,430,750,860,760,305,12310,44235
  85 years and over,785,450,425,880,350,685,785,335,610,640,525,275,535,820,340,365,300,495,575,965,720,270,12110,42760
Median age of the total population  ,44.1,36,42.7,40,38.9,41.3,39,43.6,42,37.3,41.6,35.9,45.3,39.3,39.5,44.4,39.3,48.9,38.2,43.2,38.2,43,39.7,40.2
% of the total population aged 15 and over  ,85.4,93.8,82.4,92.9,89.3,85.2,85.2,86,85.1,90.5,87.6,90.5,88,86.2,84.9,85,85.6,91.7,82.8,86.7,96.1,84.8,88.2,84.7
"  Males, total",7185,29645,10505,13915,13310,16665,23215,6890,13370,19305,11560,12915,5725,24645,10415,4150,3635,6865,17830,14705,23320,6090,295095,1130375
    0 to 4 years,280,930,480,550,600,805,1275,255,685,870,510,590,180,1220,605,180,210,190,1000,615,490,275,12725,59275
    5 to 9 years,370,450,680,315,495,865,1140,370,705,570,495,370,260,1120,580,215,185,160,1060,680,240,330,11630,58730
    10 to 14 years,545,350,800,245,440,885,1200,425,755,545,575,325,305,1265,510,290,180,175,1230,900,160,375,12435,64365
    15 to 19 years,695,580,850,310,480,990,1435,610,985,640,765,305,495,1635,480,285,170,205,1205,1105,370,395,14945,75070
      15 years,130,70,160,55,100,195,295,115,195,105,140,65,80,315,100,50,35,35,240,210,45,65,2770,14570
      16 years,155,80,185,55,90,200,310,125,195,125,145,65,90,315,95,65,35,50,260,230,40,80,2985,15090
      17 years,160,80,175,55,90,230,295,130,185,130,140,50,100,295,105,75,45,40,230,215,50,90,2955,14985
      18 years,125,140,170,70,100,190,265,120,200,130,180,65,105,345,85,50,35,40,245,240,75,75,3025,15065
      19 years,125,205,160,80,95,175,275,125,210,145,155,65,120,370,95,55,25,45,230,210,155,85,3215,15365
    20 to 24 years,515,2230,825,785,770,1215,1700,605,975,1350,930,785,465,2180,665,320,260,260,1400,1225,1815,505,21715,80620
    25 to 29 years,350,4515,525,1785,1425,1165,1950,380,905,2575,915,1750,375,2240,855,250,300,390,1335,1005,3465,410,28815,83960
    30 to 34 years,240,4305,345,1860,1395,1070,1820,290,785,2315,790,1880,280,1765,890,175,320,425,1250,845,3060,270,26360,77905
    35 to 39 years,335,3155,420,1425,1310,1180,1750,275,855,1805,725,1595,235,1660,840,145,295,470,1220,740,2350,280,23055,76660
    40 to 44 years,560,2635,790,1245,1200,1345,1855,495,975,1755,935,1235,340,1755,910,295,300,510,1310,960,2175,425,23950,86310
    45 to 49 years,695,2400,960,1030,1130,1430,1950,590,1135,1505,1130,1025,485,2020,880,290,280,695,1395,1145,2095,520,24735,93760
    50 to 54 years,490,2050,800,925,1020,1285,1670,545,1030,1190,920,835,425,1800,745,305,235,725,1260,1165,1665,415,21440,88700
    55 to 59 years,485,1910,805,810,900,1060,1520,505,900,1115,865,740,410,1540,635,300,200,640,995,1100,1470,455,19315,77595
    60 to 64 years,445,1580,745,825,775,950,1190,500,835,1145,655,585,375,1345,600,320,190,640,910,980,1360,480,17370,66615
    65 to 69 years,305,1030,505,595,440,555,720,365,500,715,395,325,280,790,345,235,130,415,605,570,985,330,11110,46120
    70 to 74 years,240,650,365,395,290,585,680,255,460,445,325,230,210,750,270,160,100,315,575,520,680,235,8725,34215
    75 to 79 years,215,425,275,325,280,615,635,195,410,310,265,165,220,745,290,140,85,300,510,505,395,150,7425,26990
    80 to 84 years,200,285,185,255,250,400,440,125,270,260,210,95,185,505,200,105,85,205,345,375,305,130,5410,19045
    85 years and over,210,160,145,225,120,255,280,115,195,190,145,85,200,310,125,130,105,140,220,275,240,100,3955,14440
  Median age of the male population ,42.5,37.1,42.2,38.8,39,40.6,38.1,42.7,40.2,37.1,40.4,36.3,44.1,37.7,38.7,43.6,38.4,49.6,36.8,41.4,39.3,42.3,39.1,39.3
  % of the male population aged 15 and over ,83.4,94.2,81.4,92,88.5,84.7,84.4,84.8,84,89.7,86.3,90,86.9,85.4,83.7,83.5,84.1,92.3,81.6,85.1,96.2,83.9,87.5,83.9
"  Females, total",8720,25045,11240,17525,13995,17330,24255,7845,15085,22070,12275,13485,6715,25860,11380,4660,4045,5305,18455,16005,21215,6700,308400,1182955
    0 to 4 years,295,910,445,525,590,815,1170,255,635,850,390,590,170,1120,590,155,180,175,960,545,470,230,12050,55905
    5 to 9 years,335,425,680,295,415,805,1080,345,665,585,445,325,230,1035,525,215,180,150,920,590,220,360,10775,55660
    10 to 14 years,495,315,745,280,395,845,1165,410,785,515,535,305,335,1225,480,260,160,165,1085,750,165,370,11735,60515
    15 to 19 years,670,635,815,305,455,885,1230,595,890,655,755,315,440,1530,500,290,185,180,1120,980,385,405,14150,70115
      15 years,125,90,145,45,100,195,265,125,210,105,150,65,80,275,110,60,40,35,220,195,40,75,2730,13595
      16 years,145,80,150,50,90,175,250,95,185,115,155,50,70,290,90,65,30,30,235,195,40,75,2640,13695
      17 years,155,95,165,50,90,190,220,125,180,105,135,60,75,305,100,60,40,25,250,200,60,100,2760,13990
      18 years,125,140,190,75,75,170,250,125,180,165,160,60,120,290,110,60,35,50,225,190,90,90,2960,14300
      19 years,120,230,155,90,105,170,240,120,135,160,165,80,95,370,95,45,35,45,195,190,155,65,3065,14535
    20 to 24 years,515,2395,760,990,970,1135,1675,565,910,1850,920,985,510,2000,665,305,245,245,1260,1170,2085,495,22570,78460
    25 to 29 years,355,4460,520,2335,1640,1230,2005,380,875,3070,890,2065,390,2010,975,305,380,415,1315,1025,3645,425,30650,86105
    30 to 34 years,320,3580,415,2140,1545,1145,1895,325,905,2480,765,1970,310,1870,985,225,340,420,1315,920,2850,290,26980,82110
    35 to 39 years,490,2450,605,1550,1320,1245,2020,445,1055,1955,850,1480,325,1870,925,205,340,345,1430,975,1950,380,24175,84590
    40 to 44 years,860,1880,1010,1425,1270,1385,2020,690,1160,1830,1095,1120,510,1935,960,365,340,335,1455,1085,1470,545,24695,94230
    45 to 49 years,770,1655,1015,1240,1055,1445,2020,710,1355,1590,1155,1010,610,2215,965,380,295,425,1410,1335,1315,540,24460,98330
    50 to 54 years,630,1545,920,1180,1070,1355,1830,675,1255,1445,1110,860,530,1980,845,345,270,405,1305,1370,1320,505,22670,93730
    55 to 59 years,565,1385,840,1185,925,1140,1580,550,1165,1355,815,710,460,1720,775,360,225,370,1150,1175,1275,515,20185,80970
    60 to 64 years,495,1245,780,1170,730,960,1255,550,995,1335,755,635,485,1465,660,355,225,295,1005,1035,1105,510,17995,70145
    65 to 69 years,360,750,515,805,450,655,815,405,610,835,485,315,265,950,385,200,130,225,730,630,915,360,11735,48740
    70 to 74 years,330,510,395,560,370,705,805,300,550,520,390,275,250,1000,365,155,125,285,660,695,610,240,10080,38675
    75 to 79 years,330,335,290,460,325,655,665,240,490,395,275,185,280,840,325,150,110,280,575,560,500,185,8440,31160
    80 to 84 years,335,275,210,410,240,485,520,185,370,360,270,155,280,580,230,145,115,230,405,485,455,180,6895,25190
    85 years and over,580,290,280,655,230,430,510,220,415,445,380,195,330,510,215,235,195,355,355,690,480,170,8155,28325
  Median age of the female population ,45.2,34.7,43.2,41.1,38.8,42,39.7,44.4,43.5,37.5,42.6,35.5,46.1,40.7,40.2,45,40,47.7,39.4,44.8,36.8,43.6,40.2,40.9
  % of the female population aged 15 and over ,87.1,93.4,83.3,93.7,90,85.8,85.9,87.1,86.1,91.2,88.9,91,89,87,86,86.4,87.1,90.9,84,88.2,95.9,85.6,88.8,85.5
Total population 15 years and over by marital status,13590,51305,17910,29225,24380,28965,40445,12675,24225,37445,20885,23895,10955,43520,18500,7490,6575,11155,30035,26635,42795,10855,532150,1958875
  Married (and not separated) or living with a or common-law partner,7500,23065,11060,13435,10355,15455,21255,7205,13370,17355,10510,10345,6090,22760,10120,4345,3455,3160,17120,14305,16275,6260,264100,1106575
    Married (and not separated),7025,16270,10125,9150,6745,13485,18435,6650,12280,12070,9370,6575,5775,20660,8535,4065,2925,2385,16175,13475,9695,5495,216815,970585
    Living common law,475,6795,935,4285,3610,1965,2820,550,1090,5290,1145,3770,310,2100,1585,280,535,775,945,825,6580,765,47285,135995
  Not living with a married spouse or common-law partner,6090,28240,6850,15795,14025,13515,19190,5470,10850,20090,10375,13555,4870,20760,8385,3145,3120,8000,12915,12335,26520,4595,268050,852300
    Single (never legally married),4035,21780,5150,10910,10175,9420,13855,3970,7370,15135,7350,10405,3370,15005,6280,2240,2195,5030,9275,8435,19955,3375,194265,586885
    Separated,275,1365,260,740,790,685,1060,235,540,780,545,715,200,995,405,120,140,505,660,570,1115,190,12850,48835
    Divorced,755,3885,695,2765,2065,1715,2310,700,1540,2965,1455,1750,495,2335,910,315,385,1385,1330,1450,4085,600,35825,119565
    Widowed,1025,1205,745,1380,995,1695,1960,565,1405,1205,1025,685,800,2420,790,470,405,1080,1650,1880,1360,430,25110,97015
  Males 15 years and over by marital status,5990,27910,8545,12805,11780,14100,19605,5840,11225,17320,9980,11625,4980,21040,8720,3465,3050,6340,14540,12510,22440,5115,258310,948005
    Married (and not separated) or living with a or common-law partner,3630,11960,5460,6800,5060,7670,10540,3530,6630,8640,5185,5175,2965,11335,5005,2130,1720,1605,8505,7090,8860,3080,132245,551405
      Married (and not separated),3385,8235,5000,4570,3320,6715,9180,3245,6105,5980,4605,3275,2805,10300,4230,1985,1450,1210,8045,6685,5090,2700,107850,482590
      Living common law,250,3720,460,2225,1740,960,1355,280,530,2660,580,1900,155,1035,775,145,275,400,460,405,3770,380,24395,68815
    Not living with a married spouse or common-law partner,2360,15950,3080,6010,6720,6425,9065,2315,4590,8685,4790,6455,2020,9700,3715,1335,1330,4735,6035,5425,13575,2030,126065,396605
      Single (never legally married),1960,13025,2635,4655,5305,5110,7315,1945,3745,7170,3785,5285,1640,8000,3125,1100,1065,3345,4945,4395,11015,1700,102035,313205
      Separated,80,720,85,280,345,305,430,70,185,315,235,310,70,405,150,45,55,290,270,225,540,60,5450,19980
      Divorced,190,1920,205,835,875,710,970,205,430,990,585,710,160,890,310,100,125,870,545,520,1725,180,14020,45130
      Widowed,140,285,155,235,195,310,345,95,230,215,190,150,150,410,130,95,90,230,270,280,295,90,4570,18290
  Females 15 years and over by marital status,7595,23395,9365,16420,12595,14865,20840,6830,12995,20125,10905,12270,5975,22480,9785,4025,3525,4815,15495,14120,20360,5740,273840,1010870
    Married (and not separated) or living with a or common-law partner,3870,11105,5595,6630,5295,7780,10720,3670,6740,8720,5325,5170,3125,11425,5115,2215,1735,1550,8610,7210,7410,3175,131855,555170
      Married (and not separated),3640,8030,5125,4575,3425,6770,9255,3410,6175,6090,4760,3305,2975,10355,4305,2080,1475,1175,8130,6790,4605,2790,108965,488000
      Living common law,225,3075,470,2060,1870,1010,1465,270,565,2630,560,1870,155,1065,805,135,255,375,485,425,2810,385,22890,67180
    Not living with a married spouse or common-law partner,3725,12290,3770,9785,7300,7085,10120,3155,6255,11405,5580,7100,2845,11055,4665,1810,1790,3265,6880,6910,12945,2565,141985,455700
      Single (never legally married),2075,8755,2515,6255,4870,4310,6540,2025,3620,7965,3570,5115,1730,7005,3160,1145,1130,1685,4335,4040,8945,1675,92240,273680
      Separated,195,645,175,460,440,385,630,160,355,470,315,410,130,595,255,70,85,215,385,345,575,130,7405,28855
      Divorced,565,1970,495,1925,1195,1005,1335,495,1105,1980,865,1040,335,1445,595,220,255,515,785,930,2360,420,21800,74440
      Widowed,890,920,590,1140,795,1385,1610,480,1175,990,835,535,650,2015,660,370,320,855,1380,1600,1065,340,20545,78720
