road_id,vertex_num,x,y
R_1,1,3125519.412,10078088.000
R_1,2,3125502.250,10078139.000
R_1,3,3125396.750,10078703.000
R_1,4,3125276.750,10079558.000
R_1,5,3125146.750,10080483.000
R_1,6,3125060.500,10081124.000
R_1,7,3124969.250,10081398.000
R_1,8,3124940.250,10081485.000
R_1,9,3124798.000,10081834.000
R_1,10,3124527.250,10082133.000
R_1,11,3124167.000,10082416.000
R_1,12,3124125.000,10082438.476
R_10,1,3139057.500,10088845.000
R_10,2,3139034.750,10088914.000
R_10,3,3138822.750,10089350.000
R_10,4,3138686.250,10089574.000
R_10,5,3138660.250,10089617.000
R_10,6,3138511.250,10089823.000
R_10,7,3138347.750,10089997.000
R_10,8,3138208.750,10090145.000
R_10,9,3137903.000,10090392.000
R_10,10,3137274.000,10090953.000
R_10,11,3136599.250,10091566.000
R_10,12,3136049.000,10092045.000
R_10,13,3135905.500,10092151.000
R_10,14,3135822.000,10092208.000
R_11,1,3124125.000,10086135.028
R_11,2,3124171.500,10086104.000
R_11,3,3124199.750,10086080.000
R_12,1,3124199.750,10086080.000
R_12,2,3124240.500,10086046.000
R_12,3,3124285.500,10085998.000
R_12,4,3124410.250,10085927.000
R_13,1,3124410.250,10085927.000
R_13,2,3124523.500,10085865.000
R_13,3,3125459.250,10085350.000
R_13,4,3127867.500,10084110.000
R_13,5,3128381.500,10083572.000
R_13,6,3128996.500,10083284.000
R_13,7,3130331.500,10083230.000
R_13,8,3130620.000,10083097.000
R_13,9,3130773.750,10082866.000
R_13,10,3130893.500,10082644.000
R_13,11,3131184.000,10082372.000
R_13,12,3131645.000,10082117.000
R_14,1,3131645.000,10082117.000
R_14,2,3131904.500,10081963.000
R_14,3,3132127.500,10081842.000
R_14,4,3132334.500,10081749.000
R_14,5,3132428.500,10081685.000
R_14,6,3133091.500,10081320.000
R_14,7,3133528.000,10081070.000
R_14,8,3134618.500,10080522.000
R_15,1,3134618.500,10080522.000
R_15,2,3134933.750,10080379.000
R_15,3,3135100.750,10080306.000
R_15,4,3135208.000,10080290.000
R_15,5,3135366.750,10080278.000
R_15,6,3135525.250,10080303.000
R_15,7,3135714.250,10080379.000
R_15,8,3136061.750,10080562.000
