Key,Zone,Installation,Location 1,Location 2,Orientation,BIA,Latitude,Longitude
CVP001,DT,2009,Robson,Burrard,350,Robson Street,49.28337,-123.12307
CVP002,DT,2009,Burrard,Robson,167,Downtown Vancouver,49.283341,-123.122543
CVP003,DT,2009,Robson,mid-block 1100,44,Robson Street,49.285151,-123.125505
CVP004,DT,2009,W Hastings,Hornby,134,Downtown Vancouver,49.286627,-123.115738
CVP005,DT,2009,Cordova,Howe,176,Downtown Vancouver,49.286713,-123.113604
CVP006,DT,2009,Cordova,Seymour,134,Downtown Vancouver,49.285448,-123.111818
CVP007,DT,2009,Burrard,Dunsmuir,154,Downtown Vancouver,49.285614,-123.119089
CVP008,DT,2009,Burrard,Georgia,93,Downtown Vancouver,49.284627,-123.12102
CVP009,DT,2009,Nelson,Cambie,196,Yaletown,49.276038,-123.117862
CVP011,DT,2009,Denman,Beach,5,None,49.286915,-123.142453
CVP012,DT,2009,Robson,Bute,95,Robson Street,49.285941,-123.126744
CVP013,DT,2009,Davie,Mainland,200,Yaletown,49.274537,-123.122029
CVP014,DT,2009,Dunsmuir,Granville,45,Downtown Vancouver,49.283662,-123.116622
CVP015,DT,2009,Smithe,Expo,96,None,49.276064,-123.114722
CVP016,DT,2009,Georgia,Hornby,264,Downtown Vancouver,49.283578,-123.120004
CVP017,DT,2009,Georgia,Howe,88,Downtown Vancouver,49.283103,-123.118831
CVP018,DT,2009,Robson,Granville,51,Downtown Vancouver,49.281564,-123.119953
CVP019,DT,2009,Burrard,Nelson,269,Downtown Vancouver,49.28103,-123.125949
CVP020,DT,2009,Canada Place,Thurlow,78,Downtown Vancouver,49.288868,-123.11838
CVP021,DT,2009,Canada Place,Burrard,64,Downtown Vancouver,49.288231,-123.115543
CVP022,DT,2009,Howe,Robson,73,Downtown Vancouver,49.282172,-123.12072
CVP023,DT,2009,Mainland,Helmcken,222,Yaletown,49.275486,-123.120568
CVP024,Metro Core,2010,Granville,W Broadway,270,South Granville,49.26342,-123.138711
CVP025,DT,2009,Nelson,Mainland,178,Yaletown,49.276679,-123.118814
CVP026,DT,2009,Water,100 block,18,Gastown,49.284175,-123.107658
CVP027,DT,2009,Granville,Pender,315,Downtown Vancouver,49.284628,-123.115082
CVP028,DT,2009,Robson,1000 block,43,Robson Street,49.283977,-123.123691
CVP029,DT,2009,Robson,Thurlow,275,Robson Street,49.284444,-123.124929
CVP030,DT,2009,Water,Richards,58,Gastown,49.284679,-123.110454
CVS001,OT,2010,W 10th,Sasamat,180,Point Grey Village,49.263754,-123.208833
CVS002,OT,2010,Alma,W 4th,180,None,49.268738,-123.185541
CVS003,OT,2010,Alma,W 4th,180,None,49.268547,-123.185891
CVS004,OT,2010,W 10th,Alma,180,None,49.263589,-123.185715
CVS005,OT,2010,W Broadway,Alma,180,None,49.264259,-123.185656
CVS006,OT,2010,Dunbar,W 16th,90,Dunbar Village,49.257669,-123.184987
CVS007,OT,2010,Dunbar,W 41st,90,Dunbar Village,49.234657,-123.185493
CVS008,OT,2010,W 4th,Balaclava,180,None,49.268341,-123.173701
CVS009,OT,2010,W Broadway,Balaclava,180,West Broadway,49.264268,-123.17414
CVS010,Metro Core,2010,W 4th,Macdonald,180,None,49.268293,-123.168555
CVS011,Metro Core,2010,W Broadway,Macdonald,180,West Broadway,49.264205,-123.168084
CVS012,Metro Core,2010,W Broadway,Macdonald,180,West Broadway,49.263972,-123.168375
CVS013,Metro Core,2010,Cornwall,Trafalgar,180,None,49.272834,-123.164454
CVS014,Metro Core,2010,Yew,Cornwall,180,None,49.272501,-123.155102
CVS015,Metro Core,2010,W Broadway,Arbutus,90,None,49.263651,-123.152808
CVS016,OT,2010,W 41st,West Blvd,180,Kerrisdale,49.234663,-123.155328
CVS017,OT,2010,W 41st,East Blvd,180,Kerrisdale,49.234456,-123.155144
CVS018,Metro Core,2010,Cypress,Cornwall,180,None,49.272341,-123.147662
CVS019,Metro Core,2010,Cypress,W 1st,180,None,49.270778,-123.147988
CVS020,Metro Core,2009,W 1st,Burrard,90,None,49.270576,-123.145697
CVS021,Metro Core,2010,W 4th,Burrard,90,Kitsilano 4th Avenue,49.267899,-123.145433
CVS022,Metro Core,2010,W Broadway,Burrard,180,None,49.263846,-123.145552
CVS023,Metro Core,2009,Lamey's Mill,Anderson,131,None,49.269605,-123.137818
CVS024,Metro Core,2009,W 4th,Granville,90,None,49.268016,-123.138206
CVS025,Metro Core,2009,Granville,W 5th,90,South Granville,49.266654,-123.138294
CVS026,Metro Core,2009,Granville,W 13th,90,South Granville,49.259773,-123.1389
CVS027,Metro Core,2009,Granville,W 10th,90,South Granville,49.262581,-123.138398
CVS029,OT,2010,Granville,W 70th,90,Marpole,49.208711,-123.140341
