longitude,latitude,StationID,Power,Quality,num_measures,Code,record_tstamp
-123.116315,49.260414,30657,-84.0496,-10.0237,2,ABC3064330657,4/12/2011 1:04
-123.101309,49.263705,5242,-82.1515,-5.7752,1,ABD052285242,4/12/2011 0:39
-123.136077,49.279984,36666,-96.8075,-13.6287,1,ABD366536666,4/12/2011 0:42
-123.081521,49.264267,30509,-61.005,-11.4783,1,ABC3049530509,4/12/2011 14:09
-123.114819,49.26039,30535,-79.0097,-20.2914,1,ABC3052130535,5/12/2011 15:44
-123.173938,49.265228,10712,-67.1871,-21.298,1,ABC1069810712,5/12/2011 22:46
-123.181792,49.265813,36147,-68.9253,-11.51,1,ABD3613336147,4/12/2011 20:20
-123.154775,49.269046,31549,-66.7914,-23.2714,1,ABC3153531549,1/12/2011 20:14
-123.14161,49.289446,31218,-43.9823,-16.985,1,ABC3120431218,2/12/2011 22:00
-123.129154,49.258968,30977,-77.55,-14.448,1,ABC3096330977,4/12/2011 0:40
-123.178035,49.258941,35657,-87.12,-11.9843,2,ABD3564335657,4/12/2011 1:04
-123.108812,49.278713,30977,-67.487,-12.6856,1,ABC3096330977,4/12/2011 0:41
-123.165067,49.260421,,-73.8102,-9.7392,4,ABC013511365,4/12/2011 14:21
-123.15281,49.266961,31265,-77.3522,-20.6145,2,ABC3125131265,2/12/2011 19:28
-123.144931,49.267147,35587,-56.7886,-8.5859,4,ABD3557335587,6/12/2011 16:20
-123.128239,49.274734,31279,-79.7043,-12.2638,2,ABC3126531279,5/12/2011 15:37
-123.127529,49.280173,36182,-83.1653,-11.3114,1,ABD3616836182,2/12/2011 22:06
-123.082521,49.281022,40120,-57.0222,-12.4661,3,ABC4010640120,7/12/2011 1:05
-123.116674,49.270247,31218,-37.6295,-21.5136,1,ABC3120431218,2/12/2011 22:00
-123.139945,49.288489,31169,-81.1728,-20.617,2,ABC3115531169,6/12/2011 18:15
-123.077767,49.279478,32176,-73.6483,-14.2324,3,ABC321632176,7/12/2011 14:23
-123.132855,49.287024,5242,-98.1827,-19.7392,1,ABD052285242,5/12/2011 20:12
-123.093049,49.277544,31000,-84.5574,-15.4625,1,ABC3098631000,4/12/2011 1:03
-123.098879,49.26471,37252,,-7.5126,1,ABD3723837252,7/12/2011 20:56
-123.09162,49.278046,1476,-77.6451,-10.7404,3,ABC01461476,7/12/2011 1:31
-123.130865,49.284342,40150,-73.8587,-14.6806,1,ABC4013640150,2/12/2011 23:05
-123.142435,49.259892,31143,-57.9608,-6.1554,1,ABC3112931143,3/12/2011 0:53
-123.111785,49.265707,35413,-95.1409,-19.5701,1,ABD3539935413,1/12/2011 21:22
-123.098385,49.257925,36986,-85.0548,-11.3963,1,ABD369736986,5/12/2011 21:27
-123.158646,49.266508,40529,-75.7901,-21.0845,1,ABC4051540529,7/12/2011 20:56
-123.122787,49.260518,40466,-62.9199,-17.5207,1,ABC404540466,7/12/2011 20:57
-123.078535,49.274056,32338,-73.9825,-20.7437,2,ABC3232432338,5/12/2011 18:14
